행정구역,연령구분,합계
___태평4동(경기성남수정),20세~29세,2058 
___태평4동(경기성남수정),30세~39세,2079 
___태평4동(경기성남수정),40세~49세,2788 
___태평4동(경기성남수정),50세~59세,2576 
___태평4동(경기성남수정),60세~64세,910 
___태평4동(경기성남수정),65세이상,2028 
___태평4동(경기성남수정),합계,15245 
___수진1동(경기성남수정),0세~9세,615 
___수진1동(경기성남수정),10세~19세,1101 
___수진1동(경기성남수정),20세~29세,1842 
___수진1동(경기성남수정),30세~39세,1833 
___수진1동(경기성남수정),40세~49세,2399 
___수진1동(경기성남수정),50세~59세,2799 
___수진1동(경기성남수정),60세~64세,1104 
___수진1동(경기성남수정),65세이상,2283 
___수진1동(경기성남수정),합계,13976 
___수진2동(경기성남수정),0세~9세,1155 
___수진2동(경기성남수정),10세~19세,1541 
___수진2동(경기성남수정),20세~29세,2614 
___수진2동(경기성남수정),30세~39세,2748 
___수진2동(경기성남수정),40세~49세,2865 
___수진2동(경기성남수정),50세~59세,3309 
___수진2동(경기성남수정),60세~64세,1325 
___수진2동(경기성남수정),65세이상,2531 
___수진2동(경기성남수정),합계,18088 
___단대동(경기성남수정),0세~9세,1482 
___단대동(경기성남수정),10세~19세,1538 
___단대동(경기성남수정),20세~29세,2382 
___단대동(경기성남수정),30세~39세,2862 
___단대동(경기성남수정),40세~49세,2765 
___단대동(경기성남수정),50세~59세,2799 
___단대동(경기성남수정),60세~64세,1070 
___단대동(경기성남수정),65세이상,2110 
___단대동(경기성남수정),합계,17008 
___산성동(경기성남수정),0세~9세,1073 
___산성동(경기성남수정),10세~19세,1316 
___산성동(경기성남수정),20세~29세,1879 
___산성동(경기성남수정),30세~39세,2294 
___산성동(경기성남수정),40세~49세,2599 
___산성동(경기성남수정),50세~59세,2413 
___산성동(경기성남수정),60세~64세,917 
___산성동(경기성남수정),65세이상,2122 
___산성동(경기성남수정),합계,14613 
___양지동(경기성남수정),0세~9세,818 
___양지동(경기성남수정),10세~19세,1142 
___양지동(경기성남수정),20세~29세,1459 
___양지동(경기성남수정),30세~39세,1474 
___양지동(경기성남수정),40세~49세,1889 
___양지동(경기성남수정),50세~59세,1776 
___양지동(경기성남수정),60세~64세,676 
___양지동(경기성남수정),65세이상,1410 
___양지동(경기성남수정),합계,10644 
___신촌동(경기성남수정),0세~9세,664 
___신촌동(경기성남수정),10세~19세,475 
___신촌동(경기성남수정),20세~29세,686 
___신촌동(경기성남수정),30세~39세,938 
___신촌동(경기성남수정),40세~49세,768 
___신촌동(경기성남수정),50세~59세,530 
___신촌동(경기성남수정),60세~64세,272 
___신촌동(경기성남수정),65세이상,410 
___신촌동(경기성남수정),합계,4743 
___고등동(경기성남수정),0세~9세,84 
___고등동(경기성남수정),10세~19세,65 
___고등동(경기성남수정),20세~29세,207 
___고등동(경기성남수정),30세~39세,259 
___고등동(경기성남수정),40세~49세,238 
___고등동(경기성남수정),50세~59세,337 
___고등동(경기성남수정),60세~64세,195 
___고등동(경기성남수정),65세이상,338 
___고등동(경기성남수정),합계,1723 
___시흥동(경기성남수정),0세~9세,228 
___시흥동(경기성남수정),10세~19세,206 
___시흥동(경기성남수정),20세~29세,410 
___시흥동(경기성남수정),30세~39세,529 
___시흥동(경기성남수정),40세~49세,429 
___시흥동(경기성남수정),50세~59세,565 
___시흥동(경기성남수정),60세~64세,286 
___시흥동(경기성남수정),65세이상,576 
___시흥동(경기성남수정),합계,3229 
___복정동(경기성남수정),0세~9세,1268 
___복정동(경기성남수정),10세~19세,546 
___복정동(경기성남수정),20세~29세,2076 
___복정동(경기성남수정),30세~39세,3861 
___복정동(경기성남수정),40세~49세,1956 
___복정동(경기성남수정),50세~59세,1170 
___복정동(경기성남수정),60세~64세,504 
___복정동(경기성남수정),65세이상,860 
___복정동(경기성남수정),합계,12241 
___위례동(경기성남수정),0세~9세,2979 
___위례동(경기성남수정),10세~19세,2291 
___위례동(경기성남수정),20세~29세,3339 
___위례동(경기성남수정),30세~39세,4298 
___위례동(경기성남수정),40세~49세,3902 
___위례동(경기성남수정),50세~59세,3994 
___위례동(경기성남수정),60세~64세,1408 
___위례동(경기성남수정),65세이상,1995 
___위례동(경기성남수정),합계,24206 
__중원구(경기성남),0세~9세,18346 
__중원구(경기성남),10세~19세,21907 
__중원구(경기성남),20세~29세,33747 
__중원구(경기성남),30세~39세,37760 
__중원구(경기성남),40세~49세,40166 
__중원구(경기성남),50세~59세,42046 
__중원구(경기성남),60세~64세,15134 
__중원구(경기성남),65세이상,28803 
__중원구(경기성남),합계,237909 
___성남동(경기성남중원),0세~9세,1872 
___성남동(경기성남중원),10세~19세,2398 
___성남동(경기성남중원),20세~29세,4781 
___성남동(경기성남중원),30세~39세,5332 
___성남동(경기성남중원),40세~49세,4792 
___성남동(경기성남중원),50세~59세,5417 
___성남동(경기성남중원),60세~64세,2060 
___성남동(경기성남중원),65세이상,4157 
___성남동(경기성남중원),합계,30809 
___금광1동(경기성남중원),0세~9세,817 
___금광1동(경기성남중원),10세~19세,1057 
___금광1동(경기성남중원),20세~29세,1797 
___금광1동(경기성남중원),30세~39세,1988 
___금광1동(경기성남중원),40세~49세,2073 
___금광1동(경기성남중원),50세~59세,2540 
___금광1동(경기성남중원),60세~64세,852 
___금광1동(경기성남중원),65세이상,1602 
___금광1동(경기성남중원),합계,12726 
___금광2동(경기성남중원),0세~9세,1809 
___금광2동(경기성남중원),10세~19세,2604 
___금광2동(경기성남중원),20세~29세,4438 
___금광2동(경기성남중원),30세~39세,4354 
___금광2동(경기성남중원),40세~49세,4672 
___금광2동(경기성남중원),50세~59세,4861 
