순번,STATION_NM,GPS_X,GPS_Y,MAP_X,MAP_Y,STATION_ID,MOBILE_NO
7344,사창초등학교,12658.331,3705.472,197530.0323,399137.4114,233000028,36173
7345,사창4리,12658.298,3705.341,197481.3312,398894.9036,233000027,36167
7346,용소3리,12658.22,3704.76,197365.0774,397820.2561,233001092,36160
7347,솔안고개,12657.824,3704.525,196778.1211,397386.3261,233001095,36151
7348,신왕공단,12657.644,3704.614,196511.2839,397550.2639,233001097,36144
7349,신왕3리.양감초등학교,12657.142,3704.806,195767.701,397905.5736,233000025,36127
7350,양감농협,12656.814,3704.869,195281.1488,398022.696,233000024,36120
7351,대양2리,12656.557,3705.208,194901.0609,398650.4462,233000007,36107
7352,대양1리.포도원,12656.248,3706.053,194443.2423,400212.647,233000620,36088
7353,향남주공2단지,12655.054,3707.008,192676.7339,401981.9624,233001108,37284
7354,방축리,12655.12,3707.202,192774.8004,402339.4934,233000618,37281
7355,상두리입구,12656.344,3705.847,194585.9182,399831.8011,233001105,36094
7356,서신터미널,12642.314,3710.164,173818.5202,407850.1484,233000853,37045
7357,상안2리.SK주유소,12642.482,3710.741,174076.0444,408922.5692,233000744,37057
7358,상안1.2리,12642.403,3710.968,173960.4956,409345.1386,233000743,37049
7359,상안1리,12642.592,3711.106,174241.4895,409594.141,233000742,37059
7360,사강시장,12644.198,3712.781,176625.6818,412689.1904,233000268,37084
7361,사강정형외과,12644.339,3712.803,176835.0221,412729.6182,233000267,37088
7362,돼지고개.삼존리물미,12645.226,3712.684,178146.1393,412504.5373,233000740,37098
7363,남양사거리,12649.141,3712.55,183936.984,412244.1526,233000730,36019
7364,원평,12655.534,3714.964,193399.1857,416696.0622,233000846,37299
7365,나래학교,12706.339,3710.553,209385.2384,408540.9294,233000162,36493
7366,반도3.금강,12706.155,3710.94,209111.7828,409255.551,233000161,36487
7367,육일리마을회관,12643.499,3712.437,175589.8117,412055.2186,233000136,36440
7368,전곡시외버스터미널,12704.066,3801.507,205953.7583,502792.6433,238000272,43201
7369,KT전곡지점,12704.371,3801.205,206401.8943,502234.1368,238000270,43238
7370,한탄강관광지입구,12703.901,3800.448,205713.6872,500833.4167,238000268,43192
7371,초성3리마을입구,12704.057,3800.098,205943.6092,500186.2669,238000267,43197
7372,초성2리부대앞,12704.247,3759.8,206222.2041,499635.5618,238000266,43225
7373,초성검문소,12704.229,3759.634,206191.7815,499324.909,238000265,43218
7374,초성공업사,12704.201,3759.064,206155.2456,498272.9878,238000264,43215
7375,초성리역.청산면사무소앞,12704.111,3758.898,206023.7572,497966.2086,238000262,43209
7376,초성공업사,12704.209,3759.061,206167.4644,498268.5171,238000261,43217
7377,초성2리부대앞,12704.246,3759.288,206220.1869,498688.2036,238000260,43224
7378,초성검문소,12704.242,3759.631,206212.7814,499319.9094,238000259,43222
7379,초성3리마을입구,12704.055,3800.113,205939.6204,500214.071,238000258,43199
7380,화원.전곡중앙교회,12704.352,3801.023,206373.9952,501897.424,238000256,43235
7381,KT전곡지점,12704.373,3801.212,206404.2067,502248.271,238000255,43239
7382,정광휴레나아파트.멱곡2통,12739.025,3714.827,257710.0022,416638.4013,237000618,42161
7383,점봉초등학교,12738.815,3715.426,257391.8064,417743.8358,237000672,42151
7384,부영아파트,12738.445,3715.79,256843.7067,418407.3968,237000671,42133
7385,여주대학교,12738.312,3716.01,256641.606,418818.8607,237000670,42127
7386,파출소.대신초교,12735.341,3722.504,252174.7255,430803.843,237000168,42050
7387,장풍후포리,12736.24,3722.137,253506.3027,430132.1208,237000166,42067
7388,후포리,12736.343,3721.357,253667.8598,428690.2752,237000164,42072
